id,top,left,bottom,right,vel_x,vel_y,vel_w,vel_h,tentative,type,frame
0,181,3,237,111,0.0,0.0,0.0,0.0,True,Car,0
1,175,96,225,214,0.0,0.0,0.0,0.0,True,Car,0
2,179,211,217,273,0.0,0.0,0.0,0.0,True,Car,0
3,111,492,211,530,0.0,0.0,0.0,0.0,True,Pedestrian,0
4,172,1097,308,1221,0.0,0.0,0.0,0.0,True,Cyclist,0
0,183,-1,235,82,0.09237875288683603,-1.6628175519630486,-2.3622047244094486,-0.31496062992125984,True,Car,1
1,173,72,225,204,-0.09237875288683603,-1.5704387990762125,1.3385826771653544,0.23622047244094488,True,Car,1
3,111,492,211,530,0.0,0.0,0.0,0.0,True,Pedestrian,1
0,175,17,235,139,-5.81181612875006,49.6657799493891,17.92542049037446,4.292609221348521,True,Car,2
3,111,492,211,530,0.0,0.0,0.0,0.0,True,Pedestrian,2
4,181,170,221,260,0.0,0.0,0.0,0.0,True,Car,2
0,175,14,245,148,6.463278835624312,45.617427434095994,30.205599943707597,13.621871837779274,True,Car,3
4,180,137,224,237,0.18475750577367206,-2.678983833718245,0.9448818897637795,0.5511811023622047,True,Car,3
5,169,426,195,444,0.0,0.0,0.0,0.0,True,Cyclist,3
6,183,3,239,69,0.0,0.0,0.0,0.0,True,Car,3
7,107,452,231,496,0.0,0.0,0.0,0.0,True,Pedestrian,3
0,170,7,244,141,-3.124998208704497,18.124113224780803,23.15255973107703,19.215524012621657,True,Car,4
4,182,123,226,229,2.4843582424205053,-17.088786212572387,4.548212304308812,0.1276108052882018,True,Car,4
6,183,3,239,69,0.0,0.0,0.0,0.0,True,Car,4
8,179,773,205,803,0.0,0.0,0.0,0.0,True,Car,4
0,168,8,244,144,-3.124998208704497,18.124113224780803,23.15255973107703,19.215524012621657,False,Car,5
4,183,98,227,214,4.818102420956608,-57.80241038186067,13.426866408987124,0.5719947639200043,True,Car,5
6,191,2,237,86,0.7161945483698557,1.6114377338321755,3.5287382642546374,-1.8410808335241586,True,Car,5
8,177,775,199,809,-0.3695150115473441,0.4618937644341802,0.31496062992125984,-0.39370078740157477,True,Car,5
0,172,27,238,163,-4.812822537437243,50.970212431969685,19.97558111084838,0.08686852418178148,False,Car,6
6,177,-1,249,60,-1.4580478767988974,-18.735017098856744,-10.764380256985014,13.290308540541654,True,Car,6
0,174,21,234,163,-5.733222944764362,36.22258081442923,25.867434764079093,-9.756348514512663,False,Car,7
0,173,12,235,138,-4.228588277313487,5.973978949273896,-0.44498488036928663,-4.505755974396387,False,Car,8
1,171,716,183,732,0.0,0.0,0.0,0.0,True,Car,8
0,173,13,235,139,-4.228588277313487,5.973978949273896,-0.44498488036928663,-4.505755974396387,False,Car,9
1,171,717,183,731,0.0,0.0,-0.15748031496062992,0.0,True,Car,9
2,160,681,184,689,0.0,0.0,0.0,0.0,True,Pedestrian,9
3,165,381,241,425,0.0,0.0,0.0,0.0,True,Pedestrian,9
0,173,14,235,140,-4.228588277313487,5.973978949273896,-0.44498488036928663,-4.505755974396387,False,Car,10
1,172,714,184,732,2.227577447355888,-0.742525815785296,1.5149263509512763,0.2525513038891939,True,Car,10
3,165,381,241,425,0.0,0.0,0.0,0.0,True,Pedestrian,10
0,173,14,233,140,-4.228588277313487,5.973978949273896,-0.44498488036928663,-4.505755974396387,False,Car,11
1,174,714,186,732,6.755406871632822,-1.1454392737913803,2.0525364110028046,0.05183950702820492,True,Car,11
