frame track_id type truncated occluded alpha left top right bottom height width length x y z rotation_y score center_x center_y
0 -1 Car -1 -1 -10 680.0 153.0 730.0 196.0 43 50 -1 -1000 -1000 -1000 -10 -0.641309 174.0 705.0
0 -1 Car -1 -1 -10 908.0 200.0 1241.0 374.0 174 333 -1 -1000 -1000 -1000 -10 12.617149 287.0 1074.0
0 -1 Pedestrian -1 -1 -10 748.0 162.0 768.0 211.0 49 20 -1 -1000 -1000 -1000 -10 1.977259 186.0 758.0
0 -1 Pedestrian -1 -1 -10 760.0 168.0 777.0 209.0 41 17 -1 -1000 -1000 -1000 -10 4.859383 188.0 768.0
1 -1 Car -1 -1 -10 0.0 195.0 27.0 231.0 36 27 -1 -1000 -1000 -1000 -10 -0.910723 213.0 13.0
1 -1 Pedestrian -1 -1 -10 746.0 161.0 766.0 212.0 51 20 -1 -1000 -1000 -1000 -10 4.866686 186.0 756.0
1 -1 Pedestrian -1 -1 -10 765.0 166.0 777.0 208.0 42 12 -1 -1000 -1000 -1000 -10 4.381697 187.0 771.0
1 -1 Pedestrian -1 -1 -10 117.0 196.0 137.0 243.0 47 20 -1 -1000 -1000 -1000 -10 -0.905254 219.0 127.0
1 -1 Car -1 -1 -10 907.0 206.0 1241.0 373.0 167 334 -1 -1000 -1000 -1000 -10 9.488796 289.0 1074.0
2 -1 Pedestrian -1 -1 -10 169.0 173.0 197.0 256.0 83 28 -1 -1000 -1000 -1000 -10 -0.913185 214.0 183.0
2 -1 Car -1 -1 -10 619.0 160.0 649.0 183.0 23 30 -1 -1000 -1000 -1000 -10 0.254582 171.0 634.0
2 -1 Cyclist -1 -1 -10 740.0 168.0 754.0 194.0 26 14 -1 -1000 -1000 -1000 -10 0.777977 181.0 747.0
2 -1 Pedestrian -1 -1 -10 768.0 169.0 783.0 208.0 39 15 -1 -1000 -1000 -1000 -10 6.818175 188.0 775.0
2 -1 Pedestrian -1 -1 -10 744.0 159.0 764.0 211.0 52 20 -1 -1000 -1000 -1000 -10 2.228435 185.0 754.0
2 -1 Car -1 -1 -10 1133.0 202.0 1241.0 347.0 145 108 -1 -1000 -1000 -1000 -10 1.751693 274.0 1187.0
2 -1 Pedestrian -1 -1 -10 765.0 43.0 781.0 91.0 48 16 -1 -1000 -1000 -1000 -10 0.961194 67.0 773.0
2 -1 Car -1 -1 -10 935.0 211.0 1241.0 374.0 163 306 -1 -1000 -1000 -1000 -10 9.622593 292.0 1088.0
3 -1 Pedestrian -1 -1 -10 766.0 165.0 783.0 210.0 45 17 -1 -1000 -1000 -1000 -10 6.175792 187.0 774.0
3 -1 Cyclist -1 -1 -10 672.0 153.0 696.0 198.0 45 24 -1 -1000 -1000 -1000 -10 2.387892 175.0 684.0
3 -1 Car -1 -1 -10 969.0 222.0 1241.0 374.0 152 272 -1 -1000 -1000 -1000 -10 8.995233 298.0 1105.0
3 -1 Pedestrian -1 -1 -10 748.0 162.0 772.0 213.0 51 24 -1 -1000 -1000 -1000 -10 3.948569 187.0 760.0
4 -1 Pedestrian -1 -1 -10 751.0 162.0 773.0 211.0 49 22 -1 -1000 -1000 -1000 -10 6.957237 186.0 762.0
4 -1 Pedestrian -1 -1 -10 797.0 175.0 812.0 212.0 37 15 -1 -1000 -1000 -1000 -10 0.128707 193.0 804.0
4 -1 Cyclist -1 -1 -10 668.0 168.0 681.0 190.0 22 13 -1 -1000 -1000 -1000 -10 0.948159 179.0 674.0
4 -1 Pedestrian -1 -1 -10 769.0 165.0 783.0 208.0 43 14 -1 -1000 -1000 -1000 -10 8.034725 186.0 776.0
4 -1 Car -1 -1 -10 677.0 160.0 735.0 197.0 37 58 -1 -1000 -1000 -1000 -10 -0.648376 178.0 706.0
4 -1 Car -1 -1 -10 1004.0 188.0 1241.0 372.0 184 237 -1 -1000 -1000 -1000 -10 4.951887 280.0 1122.0
5 -1 Pedestrian -1 -1 -10 769.0 166.0 790.0 215.0 49 21 -1 -1000 -1000 -1000 -10 7.513536 190.0 779.0
5 -1 Cyclist -1 -1 -10 752.0 171.0 825.0 213.0 42 73 -1 -1000 -1000 -1000 -10 0.255999 192.0 788.0
5 -1 Pedestrian -1 -1 -10 751.0 155.0 772.0 213.0 58 21 -1 -1000 -1000 -1000 -10 9.085663 184.0 761.0
5 -1 Pedestrian -1 -1 -10 496.0 166.0 511.0 199.0 33 15 -1 -1000 -1000 -1000 -10 -0.83323 182.0 503.0
6 -1 Pedestrian -1 -1 -10 776.0 166.0 796.0 217.0 51 20 -1 -1000 -1000 -1000 -10 8.031716 191.0 786.0
6 -1 Car -1 -1 -10 614.0 160.0 639.0 184.0 24 25 -1 -1000 -1000 -1000 -10 -0.994405 172.0 626.0
6 -1 Pedestrian -1 -1 -10 754.0 161.0 778.0 215.0 54 24 -1 -1000 -1000 -1000 -10 7.29418 188.0 766.0
6 -1 Pedestrian -1 -1 -10 5.0 134.0 56.0 267.0 133 51 -1 -1000 -1000 -1000 -10 0.686593 200.0 30.0
7 -1 Pedestrian -1 -1 -10 755.0 160.0 778.0 216.0 56 23 -1 -1000 -1000 -1000 -10 9.760373 188.0 766.0
7 -1 Pedestrian -1 -1 -10 779.0 166.0 794.0 215.0 49 15 -1 -1000 -1000 -1000 -10 9.714891 190.0 786.0
