frame track_id type truncated occluded alpha left top right bottom height width length x y z rotation_y score center_x center_y
0 -1 Car -1 -1 -10 320.0 175.0 356.0 197.0 22 36 -1 -1000 -1000 -1000 -10 4.927796 186.0 338.0
0 -1 Car -1 -1 -10 574.0 173.0 609.0 210.0 37 35 -1 -1000 -1000 -1000 -10 14.978377 191.0 591.0
0 -1 Car -1 -1 -10 255.0 173.0 310.0 202.0 29 55 -1 -1000 -1000 -1000 -10 14.444609 187.0 282.0
1 -1 Car -1 -1 -10 572.0 172.0 611.0 209.0 37 39 -1 -1000 -1000 -1000 -10 14.66894 190.0 591.0
1 -1 Cyclist -1 -1 -10 892.0 199.0 1121.0 325.0 126 229 -1 -1000 -1000 -1000 -10 -0.288355 262.0 1006.0
1 -1 Car -1 -1 -10 314.0 175.0 353.0 196.0 21 39 -1 -1000 -1000 -1000 -10 3.623242 185.0 333.0
1 -1 Car -1 -1 -10 244.0 174.0 297.0 202.0 28 53 -1 -1000 -1000 -1000 -10 13.839492 188.0 270.0
2 -1 Car -1 -1 -10 223.0 172.0 282.0 204.0 32 59 -1 -1000 -1000 -1000 -10 14.780875 188.0 252.0
2 -1 Car -1 -1 -10 570.0 172.0 611.0 210.0 38 41 -1 -1000 -1000 -1000 -10 14.586615 191.0 590.0
2 -1 Car -1 -1 -10 305.0 174.0 343.0 197.0 23 38 -1 -1000 -1000 -1000 -10 6.377528 185.0 324.0
3 -1 Car -1 -1 -10 291.0 173.0 341.0 196.0 23 50 -1 -1000 -1000 -1000 -10 4.94751 184.0 316.0
3 -1 Cyclist -1 -1 -10 912.0 154.0 966.0 229.0 75 54 -1 -1000 -1000 -1000 -10 0.932629 191.0 939.0
3 -1 Car -1 -1 -10 208.0 170.0 272.0 202.0 32 64 -1 -1000 -1000 -1000 -10 15.824031 186.0 240.0
3 -1 Car -1 -1 -10 569.0 168.0 609.0 207.0 39 40 -1 -1000 -1000 -1000 -10 15.55958 187.0 589.0
4 -1 Car -1 -1 -10 280.0 173.0 326.0 196.0 23 46 -1 -1000 -1000 -1000 -10 6.775568 184.0 303.0
4 -1 Pedestrian -1 -1 -10 473.0 157.0 486.0 181.0 24 13 -1 -1000 -1000 -1000 -10 -0.132411 169.0 479.0
4 -1 Car -1 -1 -10 186.0 168.0 260.0 203.0 35 74 -1 -1000 -1000 -1000 -10 15.139728 185.0 223.0
4 -1 Car -1 -1 -10 569.0 171.0 613.0 208.0 37 44 -1 -1000 -1000 -1000 -10 14.501936 189.0 591.0
5 -1 Car -1 -1 -10 574.0 170.0 613.0 210.0 40 39 -1 -1000 -1000 -1000 -10 14.337385 190.0 593.0
5 -1 Car -1 -1 -10 164.0 167.0 238.0 203.0 36 74 -1 -1000 -1000 -1000 -10 17.599499 185.0 201.0
5 -1 Car -1 -1 -10 207.0 177.0 241.0 202.0 25 34 -1 -1000 -1000 -1000 -10 0.716548 189.0 224.0
5 -1 Car -1 -1 -10 270.0 170.0 322.0 195.0 25 52 -1 -1000 -1000 -1000 -10 7.954502 182.0 296.0
6 -1 Car -1 -1 -10 149.0 169.0 226.0 204.0 35 77 -1 -1000 -1000 -1000 -10 17.005394 186.0 187.0
6 -1 Car -1 -1 -10 259.0 170.0 306.0 197.0 27 47 -1 -1000 -1000 -1000 -10 7.27109 183.0 282.0
6 -1 Car -1 -1 -10 574.0 169.0 612.0 211.0 42 38 -1 -1000 -1000 -1000 -10 14.761129 190.0 593.0
7 -1 Car -1 -1 -10 246.0 172.0 300.0 199.0 27 54 -1 -1000 -1000 -1000 -10 8.1164 185.0 273.0
7 -1 Car -1 -1 -10 119.0 169.0 211.0 206.0 37 92 -1 -1000 -1000 -1000 -10 15.825322 187.0 165.0
7 -1 Car -1 -1 -10 575.0 171.0 612.0 213.0 42 37 -1 -1000 -1000 -1000 -10 14.950859 192.0 593.0
8 -1 Car -1 -1 -10 380.0 173.0 407.0 189.0 16 27 -1 -1000 -1000 -1000 -10 2.208382 181.0 393.0
8 -1 Car -1 -1 -10 576.0 172.0 614.0 215.0 43 38 -1 -1000 -1000 -1000 -10 14.405458 193.0 595.0
8 -1 Car -1 -1 -10 95.0 169.0 195.0 208.0 39 100 -1 -1000 -1000 -1000 -10 17.334017 188.0 145.0
8 -1 Car -1 -1 -10 231.0 173.0 290.0 201.0 28 59 -1 -1000 -1000 -1000 -10 10.221286 187.0 260.0
9 -1 Car -1 -1 -10 572.0 172.0 612.0 215.0 43 40 -1 -1000 -1000 -1000 -10 16.87381 193.0 592.0
