frame track_id type truncated occluded alpha left top right bottom height width length x y z rotation_y score center_x center_y
2 -1 Cyclist -1 -1 -10 278.0 152.0 317.0 199.0 47 39 -1 -1000 -1000 -1000 -10 -0.682942 175.0 297.0
3 -1 Pedestrian -1 -1 -10 370.0 152.0 410.0 217.0 65 40 -1 -1000 -1000 -1000 -10 0.343403 184.0 390.0
4 -1 Pedestrian -1 -1 -10 416.0 138.0 434.0 178.0 40 18 -1 -1000 -1000 -1000 -10 0.073522 158.0 425.0
4 -1 Pedestrian -1 -1 -10 404.0 147.0 419.0 185.0 38 15 -1 -1000 -1000 -1000 -10 -0.779028 166.0 411.0
6 -1 Car -1 -1 -10 536.0 170.0 576.0 188.0 18 40 -1 -1000 -1000 -1000 -10 -0.794183 179.0 556.0
6 -1 Car -1 -1 -10 631.0 169.0 655.0 185.0 16 24 -1 -1000 -1000 -1000 -10 1.664298 177.0 643.0
7 -1 Car -1 -1 -10 634.0 167.0 651.0 182.0 15 17 -1 -1000 -1000 -1000 -10 -0.820866 174.0 642.0
8 -1 Pedestrian -1 -1 -10 265.0 122.0 319.0 225.0 103 54 -1 -1000 -1000 -1000 -10 0.1338 173.0 292.0
9 -1 Pedestrian -1 -1 -10 244.0 117.0 296.0 248.0 131 52 -1 -1000 -1000 -1000 -10 1.329078 182.0 270.0
10 -1 Car -1 -1 -10 614.0 165.0 638.0 180.0 15 24 -1 -1000 -1000 -1000 -10 0.006257 172.0 626.0
10 -1 Pedestrian -1 -1 -10 216.0 152.0 257.0 248.0 96 41 -1 -1000 -1000 -1000 -10 0.566139 200.0 236.0
11 -1 Car -1 -1 -10 613.0 161.0 632.0 180.0 19 19 -1 -1000 -1000 -1000 -10 0.804022 170.0 622.0
11 -1 Car -1 -1 -10 630.0 167.0 649.0 180.0 13 19 -1 -1000 -1000 -1000 -10 0.402469 173.0 639.0
11 -1 Pedestrian -1 -1 -10 168.0 112.0 226.0 256.0 144 58 -1 -1000 -1000 -1000 -10 0.251579 184.0 197.0
