frame track_id type truncated occluded alpha left top right bottom height width length x y z rotation_y score center_x center_y
0 -1 Car -1 -1 -10 564.0 169.0 584.0 186.0 17 20 -1 -1000 -1000 -1000 -10 7.333404 177.0 574.0
0 -1 Cyclist -1 -1 -10 587.0 164.0 605.0 188.0 24 18 -1 -1000 -1000 -1000 -10 2.49204 176.0 596.0
0 -1 Cyclist -1 -1 -10 541.0 166.0 562.0 188.0 22 21 -1 -1000 -1000 -1000 -10 1.495872 177.0 551.0
0 -1 Car -1 -1 -10 490.0 164.0 521.0 186.0 22 31 -1 -1000 -1000 -1000 -10 -0.514476 175.0 505.0
1 -1 Car -1 -1 -10 562.0 169.0 583.0 185.0 16 21 -1 -1000 -1000 -1000 -10 10.378786 177.0 572.0
1 -1 Pedestrian -1 -1 -10 631.0 166.0 645.0 185.0 19 14 -1 -1000 -1000 -1000 -10 1.677737 175.0 638.0
1 -1 Car -1 -1 -10 13.0 177.0 144.0 231.0 54 131 -1 -1000 -1000 -1000 -10 1.166855 204.0 78.0
2 -1 Car -1 -1 -10 563.0 169.0 583.0 184.0 15 20 -1 -1000 -1000 -1000 -10 4.717928 176.0 573.0
2 -1 Cyclist -1 -1 -10 583.0 159.0 607.0 188.0 29 24 -1 -1000 -1000 -1000 -10 -0.846772 173.0 595.0
3 -1 Pedestrian -1 -1 -10 590.0 165.0 605.0 185.0 20 15 -1 -1000 -1000 -1000 -10 0.084383 175.0 597.0
3 -1 Car -1 -1 -10 12.0 174.0 125.0 233.0 59 113 -1 -1000 -1000 -1000 -10 -0.638447 203.0 68.0
3 -1 Car -1 -1 -10 562.0 166.0 588.0 187.0 21 26 -1 -1000 -1000 -1000 -10 5.890469 176.0 575.0
3 -1 Cyclist -1 -1 -10 526.0 156.0 559.0 188.0 32 33 -1 -1000 -1000 -1000 -10 0.171924 172.0 542.0
3 -1 Car -1 -1 -10 484.0 166.0 515.0 187.0 21 31 -1 -1000 -1000 -1000 -10 -0.354318 176.0 499.0
4 -1 Car -1 -1 -10 558.0 170.0 582.0 186.0 16 24 -1 -1000 -1000 -1000 -10 4.192443 178.0 570.0
4 -1 Cyclist -1 -1 -10 524.0 155.0 560.0 188.0 33 36 -1 -1000 -1000 -1000 -10 0.188333 171.0 542.0
4 -1 Car -1 -1 -10 15.0 175.0 150.0 232.0 57 135 -1 -1000 -1000 -1000 -10 -0.65754 203.0 82.0
5 -1 Car -1 -1 -10 559.0 169.0 582.0 185.0 16 23 -1 -1000 -1000 -1000 -10 6.102388 177.0 570.0
5 -1 Car -1 -1 -10 763.0 156.0 825.0 182.0 26 62 -1 -1000 -1000 -1000 -10 1.334948 169.0 794.0
6 -1 Car -1 -1 -10 776.0 153.0 830.0 180.0 27 54 -1 -1000 -1000 -1000 -10 0.012172 166.0 803.0
6 -1 Car -1 -1 -10 557.0 164.0 581.0 183.0 19 24 -1 -1000 -1000 -1000 -10 3.805001 173.0 569.0
6 -1 Pedestrian -1 -1 -10 481.0 164.0 509.0 186.0 22 28 -1 -1000 -1000 -1000 -10 -0.855878 175.0 495.0
6 -1 Pedestrian -1 -1 -10 633.0 158.0 641.0 181.0 23 8 -1 -1000 -1000 -1000 -10 0.205254 169.0 637.0
7 -1 Car -1 -1 -10 556.0 166.0 580.0 184.0 18 24 -1 -1000 -1000 -1000 -10 9.074661 175.0 568.0
7 -1 Pedestrian -1 -1 -10 1084.0 109.0 1203.0 369.0 260 119 -1 -1000 -1000 -1000 -10 0.820026 239.0 1143.0
7 -1 Pedestrian -1 -1 -10 621.0 161.0 639.0 181.0 20 18 -1 -1000 -1000 -1000 -10 2.337649 171.0 630.0
7 -1 Cyclist -1 -1 -10 531.0 160.0 556.0 188.0 28 25 -1 -1000 -1000 -1000 -10 -0.492073 174.0 543.0
8 -1 Car -1 -1 -10 556.0 166.0 582.0 183.0 17 26 -1 -1000 -1000 -1000 -10 9.337729 174.0 569.0
8 -1 Cyclist -1 -1 -10 626.0 161.0 638.0 185.0 24 12 -1 -1000 -1000 -1000 -10 -0.322117 173.0 632.0
8 -1 Pedestrian -1 -1 -10 574.0 161.0 587.0 185.0 24 13 -1 -1000 -1000 -1000 -10 -0.303083 173.0 580.0
9 -1 Car -1 -1 -10 555.0 165.0 578.0 183.0 18 23 -1 -1000 -1000 -1000 -10 7.893381 174.0 566.0
9 -1 Pedestrian -1 -1 -10 623.0 164.0 640.0 183.0 19 17 -1 -1000 -1000 -1000 -10 -0.545466 173.0 631.0
9 -1 Pedestrian -1 -1 -10 986.0 185.0 1184.0 362.0 177 198 -1 -1000 -1000 -1000 -10 1.347038 273.0 1085.0
10 -1 Pedestrian -1 -1 -10 418.0 140.0 434.0 187.0 47 16 -1 -1000 -1000 -1000 -10 1.056314 163.0 426.0
10 -1 Pedestrian -1 -1 -10 624.0 158.0 634.0 181.0 23 10 -1 -1000 -1000 -1000 -10 2.634913 169.0 629.0
10 -1 Car -1 -1 -10 554.0 163.0 583.0 183.0 20 29 -1 -1000 -1000 -1000 -10 7.413521 173.0 568.0
11 -1 Car -1 -1 -10 552.0 162.0 577.0 180.0 18 25 -1 -1000 -1000 -1000 -10 7.575973 171.0 564.0
11 -1 Pedestrian -1 -1 -10 510.0 156.0 523.0 183.0 27 13 -1 -1000 -1000 -1000 -10 0.348232 169.0 516.0
11 -1 Pedestrian -1 -1 -10 622.0 153.0 632.0 182.0 29 10 -1 -1000 -1000 -1000 -10 2.192522 167.0 627.0
12 -1 Car -1 -1 -10 554.0 161.0 585.0 181.0 20 31 -1 -1000 -1000 -1000 -10 6.438139 171.0 569.0
12 -1 Pedestrian -1 -1 -10 508.0 156.0 518.0 183.0 27 10 -1 -1000 -1000 -1000 -10 -0.155372 169.0 513.0
12 -1 Car -1 -1 -10 481.0 161.0 504.0 182.0 21 23 -1 -1000 -1000 -1000 -10 -0.39037 171.0 492.0
12 -1 Pedestrian -1 -1 -10 619.0 150.0 632.0 182.0 32 13 -1 -1000 -1000 -1000 -10 1.220884 166.0 625.0
13 -1 Pedestrian -1 -1 -10 507.0 160.0 519.0 186.0 26 12 -1 -1000 -1000 -1000 -10 -0.476829 173.0 513.0
13 -1 Pedestrian -1 -1 -10 466.0 165.0 493.0 186.0 21 27 -1 -1000 -1000 -1000 -10 0.917245 175.0 479.0
13 -1 Pedestrian -1 -1 -10 618.0 158.0 630.0 183.0 25 12 -1 -1000 -1000 -1000 -10 4.228042 170.0 624.0
13 -1 Pedestrian -1 -1 -10 189.0 205.0 197.0 226.0 21 8 -1 -1000 -1000 -1000 -10 -0.718021 215.0 193.0
13 -1 Car -1 -1 -10 550.0 165.0 578.0 185.0 20 28 -1 -1000 -1000 -1000 -10 8.951503 175.0 564.0
14 -1 Pedestrian -1 -1 -10 475.0 163.0 487.0 187.0 24 12 -1 -1000 -1000 -1000 -10 0.667716 175.0 481.0
14 -1 Cyclist -1 -1 -10 574.0 161.0 597.0 186.0 25 23 -1 -1000 -1000 -1000 -10 0.913183 173.0 585.0
