frame track_id type truncated occluded alpha left top right bottom height width length x y z rotation_y score center_x center_y
0 -1 Pedestrian -1 -1 -10 322.0 137.0 650.0 357.0 220 328 -1 -1000 -1000 -1000 -10 -0.747948 247.0 486.0
0 -1 Cyclist -1 -1 -10 303.0 139.0 358.0 191.0 52 55 -1 -1000 -1000 -1000 -10 2.057999 165.0 330.0
0 -1 Pedestrian -1 -1 -10 526.0 139.0 545.0 194.0 55 19 -1 -1000 -1000 -1000 -10 1.819813 166.0 535.0
0 -1 Pedestrian -1 -1 -10 392.0 155.0 481.0 369.0 214 89 -1 -1000 -1000 -1000 -10 10.236734 262.0 436.0
0 -1 Pedestrian -1 -1 -10 446.0 124.0 521.0 339.0 215 75 -1 -1000 -1000 -1000 -10 2.862578 231.0 483.0
0 -1 Pedestrian -1 -1 -10 564.0 137.0 580.0 190.0 53 16 -1 -1000 -1000 -1000 -10 4.086905 163.0 572.0
0 -1 Pedestrian -1 -1 -10 544.0 139.0 560.0 191.0 52 16 -1 -1000 -1000 -1000 -10 6.610595 165.0 552.0
0 -1 Pedestrian -1 -1 -10 488.0 138.0 531.0 245.0 107 43 -1 -1000 -1000 -1000 -10 1.419222 191.0 509.0
0 -1 Pedestrian -1 -1 -10 485.0 147.0 502.0 200.0 53 17 -1 -1000 -1000 -1000 -10 2.294819 173.0 493.0
0 -1 Pedestrian -1 -1 -10 491.0 146.0 554.0 349.0 203 63 -1 -1000 -1000 -1000 -10 8.91741 247.0 522.0
1 -1 Cyclist -1 -1 -10 547.0 169.0 563.0 195.0 26 16 -1 -1000 -1000 -1000 -10 -0.941901 182.0 555.0
1 -1 Pedestrian -1 -1 -10 484.0 140.0 506.0 203.0 63 22 -1 -1000 -1000 -1000 -10 4.777317 171.0 495.0
1 -1 Cyclist -1 -1 -10 311.0 137.0 347.0 208.0 71 36 -1 -1000 -1000 -1000 -10 2.756096 172.0 329.0
1 -1 Pedestrian -1 -1 -10 512.0 135.0 551.0 230.0 95 39 -1 -1000 -1000 -1000 -10 1.627479 182.0 531.0
1 -1 Pedestrian -1 -1 -10 569.0 135.0 589.0 190.0 55 20 -1 -1000 -1000 -1000 -10 -0.631048 162.0 579.0
1 -1 Pedestrian -1 -1 -10 560.0 139.0 577.0 186.0 47 17 -1 -1000 -1000 -1000 -10 5.1235 162.0 568.0
1 -1 Pedestrian -1 -1 -10 544.0 138.0 563.0 192.0 54 19 -1 -1000 -1000 -1000 -10 4.404405 165.0 553.0
1 -1 Pedestrian -1 -1 -10 430.0 146.0 484.0 249.0 103 54 -1 -1000 -1000 -1000 -10 0.189665 197.0 457.0
1 -1 Pedestrian -1 -1 -10 499.0 136.0 561.0 341.0 205 62 -1 -1000 -1000 -1000 -10 11.68817 238.0 530.0
1 -1 Pedestrian -1 -1 -10 412.0 145.0 510.0 369.0 224 98 -1 -1000 -1000 -1000 -10 9.89568 257.0 461.0
2 -1 Pedestrian -1 -1 -10 531.0 143.0 561.0 226.0 83 30 -1 -1000 -1000 -1000 -10 1.412058 184.0 546.0
2 -1 Pedestrian -1 -1 -10 502.0 142.0 540.0 237.0 95 38 -1 -1000 -1000 -1000 -10 1.019827 189.0 521.0
2 -1 Pedestrian -1 -1 -10 370.0 162.0 620.0 369.0 207 250 -1 -1000 -1000 -1000 -10 1.19395 265.0 495.0
2 -1 Pedestrian -1 -1 -10 255.0 140.0 288.0 249.0 109 33 -1 -1000 -1000 -1000 -10 1.026919 194.0 271.0
2 -1 Pedestrian -1 -1 -10 566.0 139.0 584.0 187.0 48 18 -1 -1000 -1000 -1000 -10 3.467479 163.0 575.0
2 -1 Pedestrian -1 -1 -10 485.0 145.0 508.0 201.0 56 23 -1 -1000 -1000 -1000 -10 6.059389 173.0 496.0
2 -1 Pedestrian -1 -1 -10 427.0 145.0 502.0 363.0 218 75 -1 -1000 -1000 -1000 -10 9.421704 254.0 464.0
2 -1 Cyclist -1 -1 -10 306.0 137.0 347.0 211.0 74 41 -1 -1000 -1000 -1000 -10 1.770003 174.0 326.0
2 -1 Car -1 -1 -10 7.0 132.0 56.0 369.0 237 49 -1 -1000 -1000 -1000 -10 1.639561 250.0 31.0
2 -1 Pedestrian -1 -1 -10 469.0 156.0 539.0 348.0 192 70 -1 -1000 -1000 -1000 -10 1.504332 252.0 504.0
2 -1 Pedestrian -1 -1 -10 509.0 132.0 571.0 345.0 213 62 -1 -1000 -1000 -1000 -10 13.479115 238.0 540.0
2 -1 Car -1 -1 -10 5.0 130.0 304.0 369.0 239 299 -1 -1000 -1000 -1000 -10 -0.810207 249.0 154.0
