frame track_id type truncated occluded alpha left top right bottom height width length x y z rotation_y score center_x center_y
0 -1 Cyclist -1 -1 -10 1097.0 172.0 1221.0 308.0 136 124 -1 -1000 -1000 -1000 -10 -0.780018 240.0 1159.0
0 -1 Pedestrian -1 -1 -10 492.0 111.0 531.0 211.0 100 39 -1 -1000 -1000 -1000 -10 -0.409323 161.0 511.0
0 -1 Car -1 -1 -10 211.0 179.0 274.0 217.0 38 63 -1 -1000 -1000 -1000 -10 5.713708 198.0 242.0
0 -1 Car -1 -1 -10 3.0 181.0 112.0 237.0 56 109 -1 -1000 -1000 -1000 -10 10.421898 209.0 57.0
0 -1 Car -1 -1 -10 96.0 175.0 215.0 225.0 50 119 -1 -1000 -1000 -1000 -10 8.518191 200.0 155.0
1 -1 Car -1 -1 -10 0.0 184.0 79.0 236.0 52 79 -1 -1000 -1000 -1000 -10 4.889867 210.0 39.0
1 -1 Car -1 -1 -10 70.0 173.0 206.0 226.0 53 136 -1 -1000 -1000 -1000 -10 9.630172 199.0 138.0
2 -1 Car -1 -1 -10 27.0 167.0 192.0 238.0 71 165 -1 -1000 -1000 -1000 -10 6.756182 202.0 109.0
2 -1 Car -1 -1 -10 170.0 181.0 261.0 221.0 40 91 -1 -1000 -1000 -1000 -10 11.467086 201.0 215.0
3 -1 Pedestrian -1 -1 -10 452.0 107.0 496.0 231.0 124 44 -1 -1000 -1000 -1000 -10 -0.977168 169.0 474.0
3 -1 Cyclist -1 -1 -10 426.0 169.0 445.0 196.0 27 19 -1 -1000 -1000 -1000 -10 0.067358 182.0 435.0
3 -1 Car -1 -1 -10 135.0 180.0 238.0 227.0 47 103 -1 -1000 -1000 -1000 -10 10.52674 203.0 186.0
3 -1 Car -1 -1 -10 3.0 174.0 158.0 259.0 85 155 -1 -1000 -1000 -1000 -10 3.264663 216.0 80.0
3 -1 Car -1 -1 -10 3.0 183.0 70.0 240.0 57 67 -1 -1000 -1000 -1000 -10 -0.883851 211.0 36.0
4 -1 Car -1 -1 -10 773.0 179.0 804.0 206.0 27 31 -1 -1000 -1000 -1000 -10 0.703545 192.0 788.0
4 -1 Car -1 -1 -10 1.0 162.0 126.0 245.0 83 125 -1 -1000 -1000 -1000 -10 6.116466 203.0 63.0
